,name,result
0,平安银行股份有限公司,"平安银行股份有限公司（英文：PING  AN  BANK  CO.,LTD.；简称平安银行），是一家总部位于中國大陸广东省深圳市的全国性股份制商业银行，是中国平安集团旗下子公司，同时也是平安集团三大业务支柱之一。"
1,万科企业股份有限公司,"万科企业股份有限公司，简称万科或万科集团（英语：CHINA VANKE CO., LTD.，深交所：000002、港交所：2202）。"
2,深圳中国农大科技股份有限公司,深圳中国农大科技股份有限公司，证券简称：G*ST国农、证券代码：000004，公司曾用名称：蛇口安达运输股份有限公司、深圳市蛇口安达实业股份有限公司、深圳市北大高科技股份有限公司，曾用简称：深安达Ａ、ST深安达、深安达Ａ、北大高科、国农科技、ST国农。
3,深圳世纪星源股份有限公司,深圳世纪星源股份有限公司，证券简称：GST星源、证券代码：000005，公司曾用名称：深圳原野纺织股份有限公司、深圳原野实业股份有限公司，曾用简称：深原野Ａ、深星源Ａ、世纪星源、ST星源、*ST星源。
4,中国宝安集团股份有限公司,中国宝安集团股份有限公司，证券简称：深宝安A、证券代码：000009，曾用名称：深圳市宝安企业（集团）股份有限公司，曾用简称：深宝安、ST深宝安。
5,中国南玻集团股份有限公司,中国南玻集团股份有限公司 （深交所：000012 ，简称：南玻A；B股：200012，简称：南玻B）是中国一家研发及生产玻璃的国有企业。
6,沙河实业股份有限公司,沙河实业股份有限公司 （深交所：000014）是中国一家从事房地产开发经营、国内商业、物资供销业、兴办实业的上市公司。
7,康佳集团股份有限公司,"康佳集团股份有限公司（英语：Konka Group Co., Ltd.；深交所：000016（A股）；深交所：200016（B股）），简称康佳集团或康佳，是中国一家从事电子电器制造的公司，成立于1980年5月21日，前身是1980年代中国改革开放后诞生的第一家中外合资电子企业“广东光明华侨电子工业公司”，1991年改组为股份制公司。"
8,深圳中恒华发股份有限公司,深圳中恒华发股份有限公司 （股票简称：深华发A，深交所：000020）是中国一家从事电子元器件制造业、物业租赁业的上市公司。
9,国药集团一致药业股份有限公司,深圳一致药业股份有限公司 （股票简称：一致药业，深交所：000028）是中国一家从事药品及医疗器械批发业；食品、饮料、烟草和家庭用品批发业的上市公司。
10,深圳市桑达实业股份有限公司,深圳桑达实业股份有限公司 （公司简称：深桑达A，深交所：000032）是中国一家从事通信设备制造、国内商业、物资供销业的上市公司。
11,华联控股股份有限公司,华联控股股份有限公司 （公司简称：华联控股，深交所：000036）是中国一家从事投资兴办实业，生产经营各种布料、服装、化纤和纺织机械，国内商业、物资供销业，自有物业管理，承接内引外联，“三来一补”业务的上市公司。
