,name,brief
0,平安银行股份有限公司,['平安银行']
1,万科企业股份有限公司,"['万科', '万科集团']"
2,深圳中国农大科技股份有限公司,"['G*ST国农', '深安达']"
3,深圳世纪星源股份有限公司,"['GST星源', '深原野']"
4,中国宝安集团股份有限公司,"['深宝安A', '深宝安']"
5,中国南玻集团股份有限公司,"['南玻A', '南玻B']"
6,康佳集团股份有限公司,"['康佳集团', '康佳']"
7,深圳中恒华发股份有限公司,['深华发A']
8,国药集团一致药业股份有限公司,['一致药业']
9,深圳市桑达实业股份有限公司,['深桑达A']
10,华联控股股份有限公司,['华联控股']
11,深圳南山热电股份有限公司,['深南电A']
12,深圳大通实业股份有限公司,['*ST大通']
13,天马微电子股份有限公司,['深天马A']
14,中兴通讯股份有限公司,"['中兴', 'ZTE']"
15,深圳市机场股份有限公司,['深圳机场']
16,中信海洋直升机股份有限公司,['中信海直']
17,安徽丰原药业股份有限公司,['丰原药业']
18,中联重科股份有限公司,['中联重科']
19,申万宏源集团股份有限公司,['申万宏源']
20,金融街控股股份有限公司,['金融街']
21,沈阳机床股份有限公司,['沈阳机床']
22,长沙通程控股股份有限公司,['通程控股']
23,湖北宜化化工股份有限公司,['湖北宜化']
24,东阿阿胶股份有限公司,['东阿阿胶']
25,华天酒店集团股份有限公司,['华天酒店']
26,广东省高速公路发展股份有限公司,['广东省高速公路发展股份']
27,绿景控股股份有限公司,"['绿景控股', '绿景地产']"
28,长虹美菱股份有限公司,"['长虹美菱', '虹美菱B']"
29,广州市浪奇实业股份有限公司,['广州浪奇']
30,广东广弘控股股份有限公司,"['广弘控股', '粤美雅等']"
31,广州恒运企业集团股份有限公司,['穗恒运']
32,中原环保股份有限公司,['中原环保']
33,湖南投资集团股份有限公司,"['湖南投资', '湘中意A']"
34,江铃汽车股份有限公司,"['江铃', '江铃汽车']"
35,芜湖海螺型材科技股份有限公司,['海螺型材']
36,重庆长安汽车股份有限公司,['中国长安汽车集团']
37,甘肃上峰水泥股份有限公司,['上峰水泥']
38,合肥丰乐种业股份有限公司,['丰乐种业']
39,苏宁环球股份有限公司,['苏宁环球']
40,山西美锦能源股份有限公司,['美锦能源']
41,国元证券股份有限公司,['国元证券']
42,中国振华(集团)科技股份有限公司,['振华科技']
43,南风化工集团股份有限公司,['南风化工']
